Country,Cases,Deaths
USA,5032179,162804
Brazil,2917562,98644
India,2025409,41638
Russia,871894,14606
South Africa,538184,9604
China,503302,5272
Mexico,462690,50517
Peru,455409,20424
Chile,366671,9889
Colombia,357710,11939
Spain,354530,28500
Iran,320117,17976
UK,308134,46413
Saudi Arabia,284226,3055
Pakistan,281863,6035
Bangladesh,249651,3306
Italy,249204,35187
Turkey,237265,5798
Argentina,228195,4251
Germany,215210,9252
France,195633,30312
Iraq,140603,5161
Philippines,119460,2150
Indonesia,118753,5521
Canada,118561,8966
Qatar,112092,178
Kazakhstan,95942,1058
Egypt,95006,4951
Ecuador,90537,5877
Bolivia,86423,3465
Sweden,81967,5766
Oman,80713,492
Israel,79559,576
Ukraine,76808,1819
Dominican Republic,76536,1246
Panama,71418,1574
Belgium,71158,9859
Kuwait,70045,469
Belarus,68503,580
UAE,61845,354
Romania,57895,2566
Netherlands,56982,6153
Singapore,54555,27
Guatemala,54339,2119
Portugal,52061,1743
Poland,49515,1774
Nigeria,45244,930
Honduras,45098,1423
Bahrain,42889,156
Japan,42263,1026
Armenia,39819,772
Ghana,39642,199
Kyrgyzstan,38659,1447
Afghanistan,36896,1298
Switzerland,36108,1985
Algeria,33626,1273
Azerbaijan,33247,479
Morocco,29644,449
Uzbekistan,28315,175
Serbia,27332,621
Moldova,26628,828
Ireland,26372,1768
Kenya,24411,399
Venezuela,22299,195
Nepal,21750,65
Austria,21696,719
Costa Rica,21070,200
Ethiopia,20900,365
Australia,19890,255
El Salvador,19126,513
Czechia,17731,390
Cameroon,17718,391
Ivory Coast,16447,103
S. Korea,14519,303
Denmark,14306,617
Palestine,13398,92
Bosnia and Herzegovina,13396,384
Bulgaria,13014,435
Madagascar,12526,134
Sudan,11780,763
North Macedonia,11399,517
Senegal,10715,223
Norway,9468,256
DRC,9309,215
Malaysia,9038,125
French Guiana,8127,47
Gabon,7787,51
Tajikistan,7665,62
Guinea,7664,49
Haiti,7544,171
Finland,7532,331
Zambia,7164,199
Luxembourg,7073,119
Mauritania,6444,157
Paraguay,6375,66
Albania,6016,188
Lebanon,5672,70
Croatia,5404,155
Djibouti,5330,59
Greece,5123,210
Libya,4879,107
Equatorial Guinea,4821,83
Maldives,4680,19
CAR,4620,59
Hungary,4597,600
Malawi,4491,137
Zimbabwe,4339,84
Nicaragua,3902,123
Hong Kong,3850,46
Congo,3546,58
Montenegro,3480,60
Thailand,3330,58
Somalia,3227,93
Mayotte,3042,39
Eswatini,2968,55
Sri Lanka,2839,11
Cuba,2775,88
Cabo Verde,2734,27
Namibia,2652,15
Mali,2552,124
Slovakia,2480,29
South Sudan,2450,47
Slovenia,2223,125
Lithuania,2171,81
Estonia,2124,63
Mozambique,2120,15
Rwanda,2111,5
Suriname,2096,29
Guinea-Bissau,2032,27
Benin,1936,38
Iceland,1930,10
Sierra Leone,1877,67
Yemen,1768,508
Tunisia,1642,51
New Zealand,1569,22
Angola,1483,64
Uruguay,1318,37
Latvia,1275,32
Jordan,1232,11
Liberia,1224,78
Uganda,1223,5
Cyprus,1208,19
Georgia,1206,17
Burkina Faso,1158,54
Niger,1153,69
Togo,1012,22
Syria,999,48
Jamaica,958,12
Malta,946,9
Andorra,944,52
Chad,942,76
Gambia,935,16
Sao Tome and Principe,878,15
Botswana,804,2
Bahamas,761,14
Vietnam,747,10
Lesotho,742,23
Diamond Princess,712,13
San Marino,699,42
Réunion,671,5
Channel Islands,597,47
Guyana,538,22
Tanzania,509,21
Taiwan,477,7
Comoros,396,7
Burundi,395,1
Myanmar,357,6
Mauritius,344,10
Isle of Man,336,24
Mongolia,293,
Eritrea,282,
Guadeloupe,279,14
Martinique,276,15
Faeroe Islands,266,
Aruba,263,3
Cambodia,243,
Trinidad and Tobago,210,8
Cayman Islands,203,1
Gibraltar,190,
Papua New Guinea,163,3
Sint Maarten,160,16
Bermuda,157,9
Brunei ,141,3
Barbados,133,7
Turks and Caicos,129,2
Seychelles,126,
Monaco,125,4
Bhutan,105,
Antigua and Barbuda,92,3
Liechtenstein,89,1
Belize,86,2
French Polynesia,64,
St. Vincent Grenadines,56,
Saint Martin,53,3
Macao,46,
Curaçao,31,1
Fiji,27,1
Saint Lucia,25,
Timor-Leste,25,
Grenada,24,
New Caledonia,22,
Laos,20,
Dominica,18,
Saint Kitts and Nevis,17,
Greenland,14,
Montserrat,13,1
Caribbean Netherlands,13,
Falkland Islands,13,
Vatican City,12,
Western Sahara,10,1
